Dataset,Method,Dice,Coverage,Expected Risk,Risk Std,Worst 10%,CVaR_0.9,Worst Group
Kvasir-SEG-ID,Plain Segmentation,4.2767492588293824e-09,1.0,1.0,0.0,1.0,1.0,1.0
Kvasir-SEG-ID,Entropy Threshold,4.2767492588293824e-09,0.0,0.0,0.0,0.0,0.0,0.0
Kvasir-SEG-ID,Max-Softmax Threshold,4.2767492588293824e-09,0.0033574422200520833,0.002753911104252135,0.01207813770577863,0.004548576660454272,0.021311569896837076,0.006190342112246554
Kvasir-SEG-ID,Standard CRC (Bates et al.),4.2767492588293824e-09,0.0,0.0,0.0,0.0,0.0,0.0
Kvasir-SEG-ID,Spatial-weighted CP,4.2767492588293824e-09,0.0010579427083333333,0.0012264841265277938,0.010471491039257418,0.0,0.0012264841265277938,0.0016979305922975574
Kvasir-SEG-ID,LS-CRC (Ours),4.2767492588293824e-09,0.013582356770833333,0.0012294305117150847,0.002739398736356546,0.0036113714799284906,0.0073713896796107296,0.0023755569837907832
CVC-ClinicDB-ID,Plain Segmentation,6.154584778325248e-09,1.0,1.0,0.0,1.0,1.0,1.0
CVC-ClinicDB-ID,Entropy Threshold,6.154584778325248e-09,0.0,0.0,0.0,0.0,0.0,0.0
CVC-ClinicDB-ID,Max-Softmax Threshold,6.154584778325248e-09,0.0,0.0,0.0,0.0,0.0,0.0
CVC-ClinicDB-ID,Standard CRC (Bates et al.),6.154584778325248e-09,0.0,0.0,0.0,0.0,0.0,0.0
CVC-ClinicDB-ID,Spatial-weighted CP,6.154584778325248e-09,0.0,0.0,0.0,0.0,0.0,0.0
CVC-ClinicDB-ID,LS-CRC (Ours),6.154584778325248e-09,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Kvasir-cal-CVC-test,Plain Segmentation,6.154584778325248e-09,1.0,1.0,0.0,1.0,1.0,1.0
Cross-Kvasir-cal-CVC-test,Entropy Threshold,6.154584778325248e-09,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Kvasir-cal-CVC-test,Max-Softmax Threshold,6.154584778325248e-09,0.0003537547831632653,0.0003042127944502923,0.0006007843349242786,0.001210792642086745,0.0018255113856866956,0.0004725942355714953
Cross-Kvasir-cal-CVC-test,Standard CRC (Bates et al.),6.154584778325248e-09,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Kvasir-cal-CVC-test,Spatial-weighted CP,6.154584778325248e-09,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Kvasir-cal-CVC-test,LS-CRC (Ours),6.154584778325248e-09,0.016764426717952807,0.0005998728820300965,0.001984471749553064,0.0017256245715543631,0.004746271041221916,0.0014014570465819402
Cross-CVC-cal-Kvasir-test,Plain Segmentation,4.2767492588293824e-09,1.0,1.0,0.0,1.0,1.0,1.0
Cross-CVC-cal-Kvasir-test,Entropy Threshold,4.2767492588293824e-09,0.0,0.0,0.0,0.0,0.0,0.0
Cross-CVC-cal-Kvasir-test,Max-Softmax Threshold,4.2767492588293824e-09,0.0,0.0,0.0,0.0,0.0,0.0
Cross-CVC-cal-Kvasir-test,Standard CRC (Bates et al.),4.2767492588293824e-09,0.0,0.0,0.0,0.0,0.0,0.0
Cross-CVC-cal-Kvasir-test,Spatial-weighted CP,4.2767492588293824e-09,0.0,0.0,0.0,0.0,0.0,0.0
Cross-CVC-cal-Kvasir-test,LS-CRC (Ours),4.2767492588293824e-09,0.0,0.0,0.0,0.0,0.0,0.0
