Dataset,Method,Dice,Coverage,Expected Risk,Risk Std,Worst 10%,CVaR_0.9,Worst Group
Kvasir-SEG-ID,Plain Segmentation,4.2767492588293824e-09,1.0,1.0,0.0,1.0,1.0,1.0
Kvasir-SEG-ID,Entropy Threshold,4.2767492588293824e-09,0.0,0.0,0.0,0.0,0.0,0.0
Kvasir-SEG-ID,Max-Softmax Threshold,4.2767492588293824e-09,0.0136700439453125,0.004353826777490515,0.008851299458369464,0.011073579359799622,0.02361398668338855,0.010024017423954016
Kvasir-SEG-ID,Standard CRC (Bates et al.),4.2767492588293824e-09,0.10666666666666667,0.10666666666666667,0.308688984074406,1.0,1.0,0.2631578947368421
Kvasir-SEG-ID,Spatial-weighted CP,4.2767492588293824e-09,0.1471343994140625,0.08652754620338479,0.07281492363961552,0.19387776702642437,0.2364852378765742,0.0887345891327612
Kvasir-SEG-ID,LS-CRC (Ours),4.2767492588293824e-09,0.019499715169270834,0.001482766858728913,0.003391843551967185,0.006367877824231981,0.010218697724243005,0.00306244739224393
CVC-ClinicDB-ID,Plain Segmentation,6.154584778325248e-09,1.0,1.0,0.0,1.0,1.0,1.0
CVC-ClinicDB-ID,Entropy Threshold,6.154584778325248e-09,0.0,0.0,0.0,0.0,0.0,0.0
CVC-ClinicDB-ID,Max-Softmax Threshold,6.154584778325248e-09,0.024380430883290817,0.006534276333547254,0.01591483081822944,0.01360876299440867,0.04964541159570217,0.02453640636733987
CVC-ClinicDB-ID,Standard CRC (Bates et al.),6.154584778325248e-09,0.0,0.0,0.0,0.0,0.0,0.0
CVC-ClinicDB-ID,Spatial-weighted CP,6.154584778325248e-09,0.11346217564174108,0.06146747937630292,0.08463797848482549,0.19320202767848974,0.2484250247478485,0.08891126565420283
CVC-ClinicDB-ID,LS-CRC (Ours),6.154584778325248e-09,0.019435026207748726,6.31342064684295e-05,0.0004164016164169405,0.0,6.31342064684295e-05,0.00022648805035994604
Cross-Kvasir-cal-CVC-test,Plain Segmentation,6.154584778325248e-09,1.0,1.0,0.0,1.0,1.0,1.0
Cross-Kvasir-cal-CVC-test,Entropy Threshold,6.154584778325248e-09,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Kvasir-cal-CVC-test,Max-Softmax Threshold,6.154584778325248e-09,0.024380430883290817,0.006534276333547254,0.01591483081822944,0.01360876299440867,0.04964541159570217,0.02453640636733987
Cross-Kvasir-cal-CVC-test,Standard CRC (Bates et al.),6.154584778325248e-09,0.5510204081632653,0.5510204081632653,0.4973901064062833,1.0,1.0,1.0
Cross-Kvasir-cal-CVC-test,Spatial-weighted CP,6.154584778325248e-09,0.09153155891262756,0.0478270413705661,0.07381169138048414,0.16241588592529302,0.21688903868198395,0.06749892514199018
Cross-Kvasir-cal-CVC-test,LS-CRC (Ours),6.154584778325248e-09,0.019435026207748726,6.31342064684295e-05,0.0004164016164169405,0.0,6.31342064684295e-05,0.00022648805035994604
Cross-CVC-cal-Kvasir-test,Plain Segmentation,4.2767492588293824e-09,1.0,1.0,0.0,1.0,1.0,1.0
Cross-CVC-cal-Kvasir-test,Entropy Threshold,4.2767492588293824e-09,0.0,0.0,0.0,0.0,0.0,0.0
Cross-CVC-cal-Kvasir-test,Max-Softmax Threshold,4.2767492588293824e-09,0.0136700439453125,0.004353826777490515,0.008851299458369464,0.011073579359799622,0.02361398668338855,0.010024017423954016
Cross-CVC-cal-Kvasir-test,Standard CRC (Bates et al.),4.2767492588293824e-09,0.0,0.0,0.0,0.0,0.0,0.0
Cross-CVC-cal-Kvasir-test,Spatial-weighted CP,4.2767492588293824e-09,0.17843526204427082,0.1077093299869254,0.07876474991527696,0.22150981128215788,0.26436678171157835,0.109731479760422
Cross-CVC-cal-Kvasir-test,LS-CRC (Ours),4.2767492588293824e-09,0.019499715169270834,0.001482766858728913,0.003391843551967185,0.006367877824231981,0.010218697724243005,0.00306244739224393
