Dataset,Method,Dice,Coverage,Expected Risk,Risk Std,Worst 10%,CVaR_0.9,Worst Group
Kvasir-SEG-ID,Plain Segmentation,4.2767492588293824e-09,1.0,1.0,0.0,1.0,1.0,1.0
Kvasir-SEG-ID,Entropy Threshold,4.2767492588293824e-09,0.0,0.0,0.0,0.0,0.0,0.0
Kvasir-SEG-ID,Max-Softmax Threshold,4.2767492588293824e-09,0.00022145589192708334,0.0005877753825188847,0.002878464372969229,0.0009043684403877701,0.005103320574077467,0.0007994578760301418
Kvasir-SEG-ID,Standard CRC (Bates et al.),4.2767492588293824e-09,0.0,0.0,0.0,0.0,0.0,0.0
Kvasir-SEG-ID,Spatial-weighted CP,4.2767492588293824e-09,0.048569742838541666,0.03165728181988622,0.0695274432691433,0.118780642747879,0.21821116805076599,0.03909854909965806
Kvasir-SEG-ID,LS-CRC (Ours),4.2767492588293824e-09,0.011630045572916666,0.00048702961629411827,0.002400354268306133,0.0,0.00048702961629411827,0.0008737458330721652
CVC-ClinicDB-ID,Plain Segmentation,6.154584778325248e-09,1.0,1.0,0.0,1.0,1.0,1.0
CVC-ClinicDB-ID,Entropy Threshold,6.154584778325248e-09,0.0,0.0,0.0,0.0,0.0,0.0
CVC-ClinicDB-ID,Max-Softmax Threshold,6.154584778325248e-09,1.2144750478316326e-05,5.250741853568779e-05,0.00018337381707976346,7.221256091725097e-05,0.0004901538806734607,9.232402506033675e-05
CVC-ClinicDB-ID,Standard CRC (Bates et al.),6.154584778325248e-09,0.0,0.0,0.0,0.0,0.0,0.0
CVC-ClinicDB-ID,Spatial-weighted CP,6.154584778325248e-09,0.046628368144132654,0.027032183407216658,0.07517795536247303,0.06289883255958566,0.22487874329090118,0.03628489862267788
CVC-ClinicDB-ID,LS-CRC (Ours),6.154584778325248e-09,0.0116424560546875,0.0,0.0,0.0,0.0,0.0
Cross-Kvasir-cal-CVC-test,Plain Segmentation,6.154584778325248e-09,1.0,1.0,0.0,1.0,1.0,1.0
Cross-Kvasir-cal-CVC-test,Entropy Threshold,6.154584778325248e-09,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Kvasir-cal-CVC-test,Max-Softmax Threshold,6.154584778325248e-09,1.2144750478316326e-05,5.250741853568779e-05,0.00018337381707976346,7.221256091725097e-05,0.0004901538806734607,9.232402506033675e-05
Cross-Kvasir-cal-CVC-test,Standard CRC (Bates et al.),6.154584778325248e-09,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Kvasir-cal-CVC-test,Spatial-weighted CP,6.154584778325248e-09,0.054675666653380105,0.032441144680832416,0.08232185156457619,0.09651133716106425,0.24934007227420807,0.04342337382527498
Cross-Kvasir-cal-CVC-test,LS-CRC (Ours),6.154584778325248e-09,0.0116424560546875,0.0,0.0,0.0,0.0,0.0
Cross-CVC-cal-Kvasir-test,Plain Segmentation,4.2767492588293824e-09,1.0,1.0,0.0,1.0,1.0,1.0
Cross-CVC-cal-Kvasir-test,Entropy Threshold,4.2767492588293824e-09,0.0,0.0,0.0,0.0,0.0,0.0
Cross-CVC-cal-Kvasir-test,Max-Softmax Threshold,4.2767492588293824e-09,0.00022145589192708334,0.0005877753825188847,0.002878464372969229,0.0009043684403877701,0.005103320574077467,0.0007994578760301418
Cross-CVC-cal-Kvasir-test,Standard CRC (Bates et al.),4.2767492588293824e-09,0.0,0.0,0.0,0.0,0.0,0.0
Cross-CVC-cal-Kvasir-test,Spatial-weighted CP,4.2767492588293824e-09,0.041158650716145835,0.02671724751460715,0.06327199950157783,0.0978178367018699,0.19863304644823074,0.032645182691933824
Cross-CVC-cal-Kvasir-test,LS-CRC (Ours),4.2767492588293824e-09,0.011630045572916666,0.00048702961629411827,0.002400354268306133,0.0,0.00048702961629411827,0.0008737458330721652
