Dataset,Method,Dice,Coverage,Expected Risk,Risk Std,Worst 10%,CVaR_0.9,Worst Group
Kvasir-SEG-ID,Plain Segmentation,0.8441557758732846,1.0,0.1638247316920509,0.1764745410380854,0.36948154866695393,0.6033689220746358,0.21539314328787887
Kvasir-SEG-ID,Entropy Threshold,0.8441557758732846,0.16110575358072918,0.00046776669572864195,0.0021581466720464937,6.700195481243972e-05,0.004673631689123188,0.0007547715822944329
Kvasir-SEG-ID,Max-Softmax Threshold,0.8441557758732846,0.6713715616861979,0.015109787643838597,0.05014093659565013,0.032252962142229044,0.12383074661095937,0.023226418813768152
Kvasir-SEG-ID,Standard CRC (Bates et al.),0.8441557758732846,0.0,0.0,0.0,0.0,0.0,0.0
Kvasir-SEG-ID,Spatial-weighted CP,0.8441557758732846,0.7179533894856771,0.018081679534807337,0.061514632911228405,0.03664058074355125,0.1533279870947202,0.029947052787269505
Kvasir-SEG-ID,LS-CRC (Ours),0.8441557758732846,0.2822212727864583,0.0008285364027445515,0.0054391550300501345,0.0,0.0008285364027445515,0.002159332814959011
CVC-ClinicDB-ID,Plain Segmentation,0.8926352262496948,1.0,0.13261255486963355,0.16239079968297612,0.24096723198890707,0.5180248200893403,0.16242653978141872
CVC-ClinicDB-ID,Entropy Threshold,0.8926352262496948,0.13245563117825254,3.6727349577965787e-05,0.0002544545419855204,0.0,3.6727349577965787e-05,8.56971490152535e-05
CVC-ClinicDB-ID,Max-Softmax Threshold,0.8926352262496948,0.6847341109295281,0.0007660141837193954,0.002217528752370681,0.0023403969127684843,0.005729141645133495,0.0012050121218808705
CVC-ClinicDB-ID,Standard CRC (Bates et al.),0.8926352262496948,0.0,0.0,0.0,0.0,0.0,0.0
CVC-ClinicDB-ID,Spatial-weighted CP,0.8926352262496948,0.7428025226203763,0.0007006355219197517,0.002110202164799084,0.002159598935395481,0.0058304887730628255,0.001065019267396285
CVC-ClinicDB-ID,LS-CRC (Ours),0.8926352262496948,0.3586341702208227,0.0,0.0,0.0,0.0,0.0
Cross-Kvasir-cal-CVC-test,Plain Segmentation,0.8926352262496948,1.0,0.13261255486963355,0.16239079968297612,0.24096723198890707,0.5180248200893403,0.16242653978141872
Cross-Kvasir-cal-CVC-test,Entropy Threshold,0.8926352262496948,0.13245563117825254,3.6727349577965787e-05,0.0002544545419855204,0.0,3.6727349577965787e-05,8.56971490152535e-05
Cross-Kvasir-cal-CVC-test,Max-Softmax Threshold,0.8926352262496948,0.6847341109295281,0.0007660141837193954,0.002217528752370681,0.0023403969127684843,0.005729141645133495,0.0012050121218808705
Cross-Kvasir-cal-CVC-test,Standard CRC (Bates et al.),0.8926352262496948,0.0,0.0,0.0,0.0,0.0,0.0
Cross-Kvasir-cal-CVC-test,Spatial-weighted CP,0.8926352262496948,0.7428025226203763,0.0007006355219197517,0.002110202164799084,0.002159598935395481,0.0058304887730628255,0.001065019267396285
Cross-Kvasir-cal-CVC-test,LS-CRC (Ours),0.8926352262496948,0.3586341702208227,0.0,0.0,0.0,0.0,0.0
Cross-CVC-cal-Kvasir-test,Plain Segmentation,0.8441557758732846,1.0,0.1638247316920509,0.1764745410380854,0.36948154866695393,0.6033689220746358,0.21539314328787887
Cross-CVC-cal-Kvasir-test,Entropy Threshold,0.8441557758732846,0.16110575358072918,0.00046776669572864195,0.0021581466720464937,6.700195481243972e-05,0.004673631689123188,0.0007547715822944329
Cross-CVC-cal-Kvasir-test,Max-Softmax Threshold,0.8441557758732846,0.6713715616861979,0.015109787643838597,0.05014093659565013,0.032252962142229044,0.12383074661095937,0.023226418813768152
Cross-CVC-cal-Kvasir-test,Standard CRC (Bates et al.),0.8441557758732846,0.0,0.0,0.0,0.0,0.0,0.0
Cross-CVC-cal-Kvasir-test,Spatial-weighted CP,0.8441557758732846,0.7179533894856771,0.018081679534807337,0.061514632911228405,0.03664058074355125,0.1533279870947202,0.029947052787269505
Cross-CVC-cal-Kvasir-test,LS-CRC (Ours),0.8441557758732846,0.2822212727864583,0.0008285364027445515,0.0054391550300501345,0.0,0.0008285364027445515,0.002159332814959011
